,Region,County,First Dose,Series Complete,Report as of
0,Capital Region,Albany,74,0,12/14/2020
1,Western New York,Allegany,0,0,12/14/2020
2,New York City,Bronx,2,0,12/14/2020
3,Southern Tier,Broome,0,0,12/14/2020
4,Western New York,Cattaraugus,0,0,12/14/2020
5,Central New York,Cayuga,0,0,12/14/2020
6,Western New York,Chautauqua,0,0,12/14/2020
7,Southern Tier,Chemung,0,0,12/14/2020
8,Southern Tier,Chenango,0,0,12/14/2020
9,North Country,Clinton,0,0,12/14/2020
10,Capital Region,Columbia,1,0,12/14/2020
11,Central New York,Cortland,0,0,12/14/2020
12,Southern Tier,Delaware,0,0,12/14/2020
13,Mid-Hudson,Dutchess,0,0,12/14/2020
14,Western New York,Erie,0,0,12/14/2020
15,North Country,Essex,0,0,12/14/2020
16,North Country,Franklin,0,0,12/14/2020
17,Mohawk Valley,Fulton,1,0,12/14/2020
18,Finger Lakes,Genesee,0,0,12/14/2020
19,Capital Region,Greene,1,0,12/14/2020
20,North Country,Hamilton,0,0,12/14/2020
21,Mohawk Valley,Herkimer,0,0,12/14/2020
22,North Country,Jefferson,0,0,12/14/2020
23,New York City,Kings,15,0,12/14/2020
24,North Country,Lewis,0,0,12/14/2020
25,Finger Lakes,Livingston,0,0,12/14/2020
26,Central New York,Madison,0,0,12/14/2020
27,Finger Lakes,Monroe,0,0,12/14/2020
28,Mohawk Valley,Montgomery,1,0,12/14/2020
29,Long Island,Nassau,1,0,12/14/2020
30,New York City,New York,24,0,12/14/2020
31,Western New York,Niagara,0,0,12/14/2020
32,Mohawk Valley,Oneida,0,0,12/14/2020
33,Central New York,Onondaga,2,0,12/14/2020
34,Finger Lakes,Ontario,0,0,12/14/2020
35,Mid-Hudson,Orange,1,0,12/14/2020
36,Finger Lakes,Orleans,0,0,12/14/2020
37,Central New York,Oswego,0,0,12/14/2020
38,Mohawk Valley,Otsego,0,0,12/14/2020
39,Mid-Hudson,Putnam,2,0,12/14/2020
40,New York City,Queens,3,0,12/14/2020
41,Capital Region,Rensselaer,10,0,12/14/2020
42,New York City,Richmond,4,0,12/14/2020
43,Mid-Hudson,Rockland,0,0,12/14/2020
44,Capital Region,Saratoga,19,0,12/14/2020
45,Capital Region,Schenectady,29,0,12/14/2020
46,Mohawk Valley,Schoharie,0,0,12/14/2020
47,Southern Tier,Schuyler,0,0,12/14/2020
48,Finger Lakes,Seneca,0,0,12/14/2020
49,North Country,St. Lawrence,0,0,12/14/2020
50,Southern Tier,Steuben,0,0,12/14/2020
51,Long Island,Suffolk,1,0,12/14/2020
52,Mid-Hudson,Sullivan,0,0,12/14/2020
53,Southern Tier,Tioga,0,0,12/14/2020
54,Southern Tier,Tompkins,0,0,12/14/2020
55,Mid-Hudson,Ulster,1,0,12/14/2020
56,Capital Region,Warren,0,0,12/14/2020
57,Capital Region,Washington,1,0,12/14/2020
58,Finger Lakes,Wayne,0,0,12/14/2020
59,Mid-Hudson,Westchester,8,0,12/14/2020
60,Finger Lakes,Wyoming,0,0,12/14/2020
61,Finger Lakes,Yates,0,0,12/14/2020
62,Capital Region,Albany,186,0,12/15/2020
63,Western New York,Allegany,0,0,12/15/2020
64,New York City,Bronx,49,0,12/15/2020
65,Southern Tier,Broome,1,0,12/15/2020
66,Western New York,Cattaraugus,0,0,12/15/2020
67,Central New York,Cayuga,0,0,12/15/2020
68,Western New York,Chautauqua,0,0,12/15/2020
69,Southern Tier,Chemung,1,0,12/15/2020
70,Southern Tier,Chenango,0,0,12/15/2020
71,North Country,Clinton,0,0,12/15/2020
72,Capital Region,Columbia,8,0,12/15/2020
73,Central New York,Cortland,0,0,12/15/2020
74,Southern Tier,Delaware,0,0,12/15/2020
75,Mid-Hudson,Dutchess,6,0,12/15/2020
76,Western New York,Erie,8,0,12/15/2020
77,North Country,Essex,1,0,12/15/2020
78,North Country,Franklin,0,0,12/15/2020
79,Mohawk Valley,Fulton,3,0,12/15/2020
80,Finger Lakes,Genesee,0,0,12/15/2020
81,Capital Region,Greene,5,0,12/15/2020
82,North Country,Hamilton,0,0,12/15/2020
83,Mohawk Valley,Herkimer,0,0,12/15/2020
84,North Country,Jefferson,0,0,12/15/2020
85,New York City,Kings,208,0,12/15/2020
86,North Country,Lewis,0,0,12/15/2020
87,Finger Lakes,Livingston,0,0,12/15/2020
88,Central New York,Madison,0,0,12/15/2020
89,Finger Lakes,Monroe,10,0,12/15/2020
90,Mohawk Valley,Montgomery,3,0,12/15/2020
91,Long Island,Nassau,97,0,12/15/2020
92,New York City,New York,471,1,12/15/2020
93,Western New York,Niagara,1,0,12/15/2020
94,Mohawk Valley,Oneida,0,0,12/15/2020
95,Central New York,Onondaga,12,0,12/15/2020
96,Finger Lakes,Ontario,0,0,12/15/2020
97,Mid-Hudson,Orange,9,0,12/15/2020
98,Finger Lakes,Orleans,0,0,12/15/2020
99,Central New York,Oswego,0,0,12/15/2020
100,Mohawk Valley,Otsego,0,0,12/15/2020
101,Mid-Hudson,Putnam,3,0,12/15/2020
102,New York City,Queens,148,1,12/15/2020
103,Capital Region,Rensselaer,40,0,12/15/2020
104,New York City,Richmond,59,0,12/15/2020
105,Mid-Hudson,Rockland,25,0,12/15/2020
106,Capital Region,Saratoga,44,0,12/15/2020
107,Capital Region,Schenectady,73,0,12/15/2020
108,Mohawk Valley,Schoharie,1,0,12/15/2020
109,Southern Tier,Schuyler,0,0,12/15/2020
110,Finger Lakes,Seneca,0,0,12/15/2020
111,North Country,St. Lawrence,0,0,12/15/2020
112,Southern Tier,Steuben,0,0,12/15/2020
113,Long Island,Suffolk,25,0,12/15/2020
114,Mid-Hudson,Sullivan,0,0,12/15/2020
